name|air_time|succ_transmissions|failed_transmissions|ffp|cot|offset|simulation_run|station_version|mean_channel_access_delay
Floating FBE 1|491|1|0|2000|491|0|1|FloatingFbe|60000000
Standard FBE 1|14729509|29999|0|2000|491|0|1|StandardFbe|2000
Floating FBE 2|0|0|0|2000|491|0|1|FloatingFbe|60000000
Standard FBE 2|14729509|29999|0|2000|491|500|1|StandardFbe|1999,983332777759
Floating FBE 3|0|0|0|2000|491|0|1|FloatingFbe|60000000
Standard FBE 3|14729509|29999|0|2000|491|1000|1|StandardFbe|1999,9666655555184
Floating FBE 4|491|1|0|2000|491|0|1|FloatingFbe|60000000
Standard FBE 4|14729509|29999|0|2000|491|1500|1|StandardFbe|1999,9499983332776
Enhanced FBE 1|0|0|0|2000|491|0|2|EnhancedFbe|60000000
Standard FBE 1|14729509|29999|0|2000|491|0|2|StandardFbe|2000
Enhanced FBE 2|0|0|1|2000|491|0|2|EnhancedFbe|60000000
Standard FBE 2|14729509|29999|0|2000|491|500|2|StandardFbe|1999,983332777759
Enhanced FBE 3|0|0|1|2000|491|0|2|EnhancedFbe|60000000
Standard FBE 3|14729509|29999|0|2000|491|1000|2|StandardFbe|1999,9666655555184
Enhanced FBE 4|0|0|1|2000|491|0|2|EnhancedFbe|60000000
Standard FBE 4|14729509|29999|0|2000|491|1500|2|StandardFbe|1999,9499983332776
GE FBE 1|491|1|0|2000|491|0|3|GreedyEnhancedFbe|60000000
Standard FBE 1|14729509|29999|0|2000|491|0|3|StandardFbe|2000
GE FBE 2|491|1|0|2000|491|0|3|GreedyEnhancedFbe|60000000
Standard FBE 2|14729509|29999|0|2000|491|500|3|StandardFbe|1999,983332777759
GE FBE 3|0|0|1|2000|491|0|3|GreedyEnhancedFbe|60000000
Standard FBE 3|14729509|29999|0|2000|491|1000|3|StandardFbe|1999,9666655555184
GE FBE 4|0|0|1|2000|491|0|3|GreedyEnhancedFbe|60000000
Standard FBE 4|14729509|29999|0|2000|491|1500|3|StandardFbe|1999,9499983332776
BITR FBE 1|0|0|1|2000|491|0|4|BitrFbe|60000000
Standard FBE 1|14729509|29999|0|2000|491|0|4|StandardFbe|2000
BITR FBE 2|491|1|0|2000|491|0|4|BitrFbe|60000000
Standard FBE 2|14729509|29999|0|2000|491|500|4|StandardFbe|1999,983332777759
BITR FBE 3|491|1|0|2000|491|0|4|BitrFbe|60000000
Standard FBE 3|14729509|29999|0|2000|491|1000|4|StandardFbe|1999,9666655555184
BITR FBE 4|0|0|1|2000|491|0|4|BitrFbe|60000000
Standard FBE 4|14729509|29999|0|2000|491|1500|4|StandardFbe|1999,9499983332776
Floating FBE 1|3665315|7465|187|2000|491|0|5|FloatingFbe|8036,8459477561955
FM FBE 1|7327193|14923|0|2000|491|0|5|FixedMutingFbe|4020,5052603363933
Floating FBE 2|3637328|7408|180|2000|491|0|5|FloatingFbe|8099,2378509719229
FM FBE 2|7327193|14923|0|2000|491|500|5|FixedMutingFbe|4020,4717550090463
Floating FBE 3|3668752|7472|198|2000|491|0|5|FloatingFbe|8028,8187901498923
FM FBE 3|7327193|14923|0|2000|491|1000|5|FixedMutingFbe|4020,4382496816984
Floating FBE 4|3629472|7392|199|2000|491|0|5|FloatingFbe|8116,855113636364
FM FBE 4|7327193|14923|0|2000|491|1500|5|FixedMutingFbe|4020,4047443543518
Enhanced FBE 1|1465635|2985|1733|2000|491|0|6|EnhancedFbe|20097,804355108878
FM FBE 1|7319337|14907|0|2000|491|0|6|FixedMutingFbe|4024,8205541020993
Enhanced FBE 2|1437157|2927|1688|2000|491|0|6|EnhancedFbe|20497,425350187907
FM FBE 2|7319337|14907|0|2000|491|500|6|FixedMutingFbe|4024,787012812772
Enhanced FBE 3|1415553|2883|1645|2000|491|0|6|EnhancedFbe|20804,67672563302
FM FBE 3|7319337|14907|0|2000|491|1000|6|FixedMutingFbe|4024,7534715234451
Enhanced FBE 4|1444522|2942|1704|2000|491|0|6|EnhancedFbe|20383,351461590755
FM FBE 4|7319828|14908|0|2000|491|1500|6|FixedMutingFbe|4024,4499597531521
GE FBE 1|10258954|20894|452|2000|491|0|7|GreedyEnhancedFbe|2871,5869627644297
