name|air_time|succ_transmissions|failed_transmissions|ffp|cot|offset|simulation_run|station_version|mean_channel_access_delay
Test_1_1|28355600|14924|98|2000|1900|0|1|BitrFbe|4020,2280889841859
Test_1_2|28420200|14958|98|2000|1900|0|1|BitrFbe|4011,2278379462491
Test_2_1|14314600|7534|153|2000|1900|0|2|BitrFbe|7963,0986195911873
Test_2_2|14354500|7555|148|2000|1900|0|2|BitrFbe|7941,7568497683651
Test_2_3|14384900|7571|125|2000|1900|0|2|BitrFbe|7924,7140404173824
Test_2_4|14453300|7607|145|2000|1900|0|2|BitrFbe|7886,4244774549752
Test_3_1|7189600|3784|121|2000|1900|0|3|BitrFbe|15855,20401691332
Test_3_2|7282700|3833|132|2000|1900|0|3|BitrFbe|15652,005739629534
Test_3_3|7273200|3828|147|2000|1900|0|3|BitrFbe|15673,46368861024
Test_3_4|7155400|3766|126|2000|1900|0|3|BitrFbe|15921,696494954858
Test_3_5|7128800|3752|156|2000|1900|0|3|BitrFbe|15989,388059701492
Test_3_6|7286500|3835|132|2000|1900|0|3|BitrFbe|15642,828683181226
Test_3_7|7204800|3792|140|2000|1900|0|3|BitrFbe|15822,777689873417
Test_3_8|7132600|3754|157|2000|1900|0|3|BitrFbe|15975,695524773575
Test_4_1|3553000|1870|161|2000|1900|0|4|BitrFbe|32063,867914438502
Test_4_2|3545400|1866|165|2000|1900|0|4|BitrFbe|32140,872454448017
Test_4_3|3492200|1838|156|2000|1900|0|4|BitrFbe|32637,853101196954
Test_4_4|3516900|1851|172|2000|1900|0|4|BitrFbe|32399,255537547269
Test_4_5|3568200|1878|144|2000|1900|0|4|BitrFbe|31910,83972310969
Test_4_6|3425700|1803|163|2000|1900|0|4|BitrFbe|33259,660565723796
Test_4_7|3665100|1929|146|2000|1900|0|4|BitrFbe|31100,165370658375
Test_4_8|3535900|1861|165|2000|1900|0|4|BitrFbe|32232,408382590009
Test_4_9|3461800|1822|169|2000|1900|0|4|BitrFbe|32918,109220636659
Test_4_10|3534000|1860|165|2000|1900|0|4|BitrFbe|32248,701612903224
Test_4_11|3602400|1896|163|2000|1900|0|4|BitrFbe|31635,367616033756
Test_4_12|3526400|1856|167|2000|1900|0|4|BitrFbe|32325,490301724141
Test_4_13|3581500|1885|145|2000|1900|0|4|BitrFbe|31806,663660477454
Test_4_14|3539700|1863|150|2000|1900|0|4|BitrFbe|32200,908749329043
Test_4_15|3600500|1895|157|2000|1900|0|4|BitrFbe|31655,112928759892
Test_4_16|3539700|1863|156|2000|1900|0|4|BitrFbe|32166,731615673645
Test_5_1|1662500|875|156|2000|1900|0|5|BitrFbe|68533,938285714292
Test_5_2|1670100|879|203|2000|1900|0|5|BitrFbe|68211,125142207049
Test_5_3|1664400|876|204|2000|1900|0|5|BitrFbe|68398,578767123283
Test_5_4|1679600|884|174|2000|1900|0|5|BitrFbe|67681,613122171941
Test_5_5|1685300|887|185|2000|1900|0|5|BitrFbe|67537,33145434047
Test_5_6|1702400|896|175|2000|1900|0|5|BitrFbe|66919,09040178571
Test_5_7|1641600|864|156|2000|1900|0|5|BitrFbe|69266,131944444453
Test_5_8|1679600|884|156|2000|1900|0|5|BitrFbe|67749,101809954751
Test_5_9|1575100|829|169|2000|1900|0|5|BitrFbe|72350,775633293131
Test_5_10|1755600|924|188|2000|1900|0|5|BitrFbe|64853,738095238099
Test_5_11|1702400|896|168|2000|1900|0|5|BitrFbe|66831,002232142855
Test_5_12|1666300|877|170|2000|1900|0|5|BitrFbe|68338,145952109466
Test_5_13|1613100|849|176|2000|1900|0|5|BitrFbe|70610,073027090693
Test_5_14|1776500|935|172|2000|1900|0|5|BitrFbe|64103,110160427808
Test_5_15|1691000|890|156|2000|1900|0|5|BitrFbe|67268,577528089896
Test_5_16|1711900|901|164|2000|1900|0|5|BitrFbe|66562,702552719202
Test_5_17|1694800|892|198|2000|1900|0|5|BitrFbe|67255,902466367712
Test_5_18|1641600|864|191|2000|1900|0|5|BitrFbe|69444,423611111109
Test_5_19|1774600|934|168|2000|1900|0|5|BitrFbe|64136,707708779439
Test_5_20|1664400|876|175|2000|1900|0|5|BitrFbe|68449,11415525114
Test_5_21|1738500|915|174|2000|1900|0|5|BitrFbe|65556,892896174861
Test_5_22|1683400|886|175|2000|1900|0|5|BitrFbe|67717,895033860041
