name|air_time|succ_transmissions|failed_transmissions|ffp|cot|offset|simulation_run|station_version|mean_channel_access_delay
Test_1_1|18003600|20004|9|1000|900|0|1|DeterministicBackoffFbe|2998,9002199560086
Test_1_2|17972100|19969|9|1000|900|0|1|DeterministicBackoffFbe|3002,403725774951
Test_2_1|8208900|9121|2961|1000|900|0|2|DeterministicBackoffFbe|6576,9104264883226
Test_2_2|6971400|7746|2982|1000|900|0|2|DeterministicBackoffFbe|7743,8678027368951
Test_2_3|8393400|9326|2889|1000|900|0|2|DeterministicBackoffFbe|6431,0529701908645
Test_2_4|7885800|8762|2945|1000|900|0|2|DeterministicBackoffFbe|6843,8712622688881
Test_3_1|2816100|3129|4159|1000|900|0|3|DeterministicBackoffFbe|19168,424416746566
Test_3_2|2638800|2932|4058|1000|900|0|3|DeterministicBackoffFbe|20461,800818553889
Test_3_3|2626200|2918|4081|1000|900|0|3|DeterministicBackoffFbe|20553,118574366003
Test_3_4|2579400|2866|4034|1000|900|0|3|DeterministicBackoffFbe|20925,33147243545
Test_3_5|2757600|3064|4141|1000|900|0|3|DeterministicBackoffFbe|19578,32898172324
Test_3_6|2699100|2999|4139|1000|900|0|3|DeterministicBackoffFbe|20005,001667222408
Test_3_7|2717100|3019|4182|1000|900|0|3|DeterministicBackoffFbe|19866,512090096057
Test_3_8|2783700|3093|4185|1000|900|0|3|DeterministicBackoffFbe|19388,296152602652
Test_4_1|1235700|1373|3142|1000|900|0|4|DeterministicBackoffFbe|43692,643845593593
Test_4_2|1156500|1285|3075|1000|900|0|4|DeterministicBackoffFbe|46648,249027237354
Test_4_3|1332000|1480|3117|1000|900|0|4|DeterministicBackoffFbe|40493,24324324324
Test_4_4|1232100|1369|3080|1000|900|0|4|DeterministicBackoffFbe|43819,576333089848
Test_4_5|1312200|1458|3184|1000|900|0|4|DeterministicBackoffFbe|41138,545953360765
Test_4_6|1205100|1339|3042|1000|900|0|4|DeterministicBackoffFbe|44766,243465272593
Test_4_7|1278000|1420|3112|1000|900|0|4|DeterministicBackoffFbe|42216,9014084507
Test_4_8|1251900|1391|3049|1000|900|0|4|DeterministicBackoffFbe|43128,684399712438
Test_4_9|1211400|1346|3079|1000|900|0|4|DeterministicBackoffFbe|44572,808320950964
Test_4_10|1386900|1541|3185|1000|900|0|4|DeterministicBackoffFbe|38918,234912394546
Test_4_11|1263600|1404|3186|1000|900|0|4|DeterministicBackoffFbe|42696,581196581195
Test_4_12|1215000|1350|3093|1000|900|0|4|DeterministicBackoffFbe|44416,296296296299
Test_4_13|1165500|1295|3077|1000|900|0|4|DeterministicBackoffFbe|46301,930501930496
Test_4_14|1225800|1362|3115|1000|900|0|4|DeterministicBackoffFbe|44033,773861967697
Test_4_15|1234800|1372|3118|1000|900|0|4|DeterministicBackoffFbe|43682,21574344024
Test_4_16|1258200|1398|3174|1000|900|0|4|DeterministicBackoffFbe|42892,70386266095
Test_5_1|546300|607|2387|1000|900|0|5|DeterministicBackoffFbe|97696,869851729833
Test_5_2|519300|577|2356|1000|900|0|5|DeterministicBackoffFbe|103766,03119584057
Test_5_3|509400|566|2358|1000|900|0|5|DeterministicBackoffFbe|105402,82685512368
Test_5_4|468000|520|2326|1000|900|0|5|DeterministicBackoffFbe|113169,23076923078
Test_5_5|559800|622|2365|1000|900|0|5|DeterministicBackoffFbe|96163,987138263677
Test_5_6|500400|556|2350|1000|900|0|5|DeterministicBackoffFbe|107670,86330935251
Test_5_7|585000|650|2395|1000|900|0|5|DeterministicBackoffFbe|91910,769230769234
Test_5_8|533700|593|2332|1000|900|0|5|DeterministicBackoffFbe|100935,91905564925
Test_5_9|517500|575|2368|1000|900|0|5|DeterministicBackoffFbe|103930,4347826087
