name|air_time|succ_transmissions|failed_transmissions|ffp|cot|offset|simulation_run|station_version|mean_channel_access_delay
Test_1_1|26278900|13831|1707|2000|1900|0|1|EnhancedFbe|4338,0772178439738
Test_1_2|25902700|13633|1707|2000|1900|0|1|EnhancedFbe|4400,6336096237073
Test_2_1|12536200|6598|1643|2000|1900|0|2|EnhancedFbe|9093,6579266444387
Test_2_2|12028900|6331|1775|2000|1900|0|2|EnhancedFbe|9476,2138682672557
Test_2_3|12460200|6558|1805|2000|1900|0|2|EnhancedFbe|9148,8162549557801
Test_2_4|12486800|6572|1712|2000|1900|0|2|EnhancedFbe|9126,8540779062696
Test_3_1|5443500|2865|1771|2000|1900|0|3|EnhancedFbe|20927,566492146598
Test_3_2|5549900|2921|1692|2000|1900|0|3|EnhancedFbe|20525,656282095173
Test_3_3|5614500|2955|1725|2000|1900|0|3|EnhancedFbe|20298,410152284265
Test_3_4|5472000|2880|1715|2000|1900|0|3|EnhancedFbe|20833,327083333334
Test_3_5|5409300|2847|1739|2000|1900|0|3|EnhancedFbe|21069,847558833859
Test_3_6|5506200|2898|1724|2000|1900|0|3|EnhancedFbe|20679,394064872329
Test_3_7|5587900|2941|1764|2000|1900|0|3|EnhancedFbe|20392,288677320641
Test_3_8|5451100|2869|1732|2000|1900|0|3|EnhancedFbe|20911,800278842802
Test_4_1|2160300|1137|1674|2000|1900|0|4|EnhancedFbe|52693,932277924374
Test_4_2|2093800|1102|1639|2000|1900|0|4|EnhancedFbe|54418,951905626134
Test_4_3|2061500|1085|1722|2000|1900|0|4|EnhancedFbe|55275,318894009215
Test_4_4|2285700|1203|1696|2000|1900|0|4|EnhancedFbe|49836,66999168745
Test_4_5|2131800|1122|1716|2000|1900|0|4|EnhancedFbe|53418,269162210345
Test_4_6|2166000|1140|1710|2000|1900|0|4|EnhancedFbe|52624,458771929822
Test_4_7|2097600|1104|1712|2000|1900|0|4|EnhancedFbe|54318,538949275367
Test_4_8|2219200|1168|1810|2000|1900|0|4|EnhancedFbe|51361,185787671231
Test_4_9|2080500|1095|1665|2000|1900|0|4|EnhancedFbe|54709,524200913249
Test_4_10|2245800|1182|1731|2000|1900|0|4|EnhancedFbe|50631,325719120141
Test_4_11|2158400|1136|1704|2000|1900|0|4|EnhancedFbe|52815,101232394365
Test_4_12|2017800|1062|1689|2000|1900|0|4|EnhancedFbe|56443,893596986818
Test_4_13|2101400|1106|1760|2000|1900|0|4|EnhancedFbe|54209,358047016271
Test_4_14|2207800|1162|1735|2000|1900|0|4|EnhancedFbe|51494,070567986237
Test_4_15|2217300|1167|1706|2000|1900|0|4|EnhancedFbe|51379,251071122533
Test_4_16|2105200|1108|1732|2000|1900|0|4|EnhancedFbe|54146,136281588449
Test_5_1|640300|337|1656|2000|1900|0|5|EnhancedFbe|177939,69139465876
Test_5_2|649800|342|1665|2000|1900|0|5|EnhancedFbe|174488,73391812865
Test_5_3|665000|350|1698|2000|1900|0|5|EnhancedFbe|170333,21428571432
Test_5_4|685900|361|1611|2000|1900|0|5|EnhancedFbe|164550,48753462604
Test_5_5|661200|348|1651|2000|1900|0|5|EnhancedFbe|172303,56321839083
Test_5_6|714400|376|1609|2000|1900|0|5|EnhancedFbe|158667,58510638299
Test_5_7|676400|356|1683|2000|1900|0|5|EnhancedFbe|168267,23595505618
Test_5_8|670700|353|1661|2000|1900|0|5|EnhancedFbe|169937,34560906515
Test_5_9|649800|342|1656|2000|1900|0|5|EnhancedFbe|174683,55847953219
Test_5_10|750500|395|1710|2000|1900|0|5|EnhancedFbe|151592,2253164557
Test_5_11|638400|336|1634|2000|1900|0|5|EnhancedFbe|177682,70833333337
