name|air_time|succ_transmissions|failed_transmissions|ffp|cot|offset|simulation_run|station_version|mean_channel_access_delay
Test_1_1|7995000|15990|0|1000|500|185|1|FloatingFbe|3752,1887429643525
Test_1_2|24105500|48211|0|1000|500|359|1|FloatingFbe|1244,5154217917072
Test_2_1|8147000|16294|0|1000|500|202|2|FloatingFbe|3682,1083834540318
Test_2_2|15173500|30347|0|1000|500|489|2|FloatingFbe|1977,1172438791311
Test_2_3|6430000|12860|0|1000|500|376|2|FloatingFbe|4665,4408242612744
Test_2_4|5906000|11812|0|1000|500|299|2|FloatingFbe|5078,6638164578389
Test_3_1|5472000|10944|77|2000|500|153|3|FloatingFbe|5482,4490131578941
Test_3_2|5174000|10348|48|2000|500|30|3|FloatingFbe|5797,4056822574412
Test_3_3|4457000|8914|48|2000|500|205|3|FloatingFbe|6729,2341260937847
Test_3_4|4747000|9494|0|2000|500|120|3|FloatingFbe|6319,6316621023798
Test_3_5|5586000|11172|0|2000|500|455|3|FloatingFbe|5370,2965449337626
Test_3_6|4393500|8787|90|2000|500|48|3|FloatingFbe|6827,8512575395462
Test_3_7|4482500|8965|95|2000|500|189|3|FloatingFbe|6692,4238706079195
Test_3_8|4537000|9074|0|2000|500|48|3|FloatingFbe|6612,218426272867
Test_4_1|67500|45|1|2000|1500|249|4|FloatingFbe|1326035,8444444444
Test_4_2|45000|30|0|2000|1500|106|4|FloatingFbe|1972053,2666666668
Test_4_3|9489000|6326|0|2000|1500|336|4|FloatingFbe|9484,3201074928857
Test_4_4|2955000|1970|57|2000|1500|280|4|FloatingFbe|30445,575634517769
Test_4_5|144000|96|5|2000|1500|436|4|FloatingFbe|604850,44791666674
Test_4_6|0|0|0|2000|1500|495|4|FloatingFbe|60000000
Test_4_7|591000|394|5|2000|1500|300|4|FloatingFbe|151379,91878172589
Test_4_8|5548500|3699|56|2000|1500|105|4|FloatingFbe|16219,460394701271
Test_4_9|0|0|0|2000|1500|167|4|FloatingFbe|60000000
Test_4_10|300000|200|0|2000|1500|151|4|FloatingFbe|299848,20500000002
Test_4_11|562500|375|20|2000|1500|60|4|FloatingFbe|158836,58666666667
Test_4_12|6379500|4253|0|2000|1500|343|4|FloatingFbe|14107,627792146721
Test_4_13|10567500|7045|20|2000|1500|65|4|FloatingFbe|8514,9558552164654
Test_4_14|8227500|5485|0|2000|1500|162|4|FloatingFbe|10937,795077484046
Test_4_15|0|0|0|2000|1500|340|4|FloatingFbe|60000000
Test_4_16|0|0|0|2000|1500|301|4|FloatingFbe|60000000
Test_5_1|0|0|0|3000|2500|460|5|FloatingFbe|60000000
Test_5_2|8732500|3493|63|3000|2500|269|5|FloatingFbe|17177,183509876897
Test_5_3|10000|4|0|3000|2500|106|5|FloatingFbe|10113690,25
Test_5_4|1075000|430|11|3000|2500|341|5|FloatingFbe|139283,39999999999
Test_5_5|0|0|0|3000|2500|51|5|FloatingFbe|60000000
Test_5_6|190000|76|2|3000|2500|127|5|FloatingFbe|782326,3684210527
Test_5_7|0|0|0|3000|2500|436|5|FloatingFbe|60000000
Test_5_8|0|0|0|3000|2500|497|5|FloatingFbe|60000000
Test_5_9|0|0|0|3000|2500|79|5|FloatingFbe|60000000
Test_5_10|0|0|0|3000|2500|458|5|FloatingFbe|60000000
Test_5_11|3710000|1484|11|3000|2500|56|5|FloatingFbe|40429,200808625334
Test_5_12|0|0|0|3000|2500|484|5|FloatingFbe|60000000
Test_5_13|2635000|1054|26|3000|2500|492|5|FloatingFbe|56905,984819734345
Test_5_14|0|0|0|3000|2500|415|5|FloatingFbe|60000000
Test_5_15|3077500|1231|2|3000|2500|268|5|FloatingFbe|48657,937449228273
Test_5_16|3660000|1464|0|3000|2500|208|5|FloatingFbe|40946,6618852459
Test_5_17|215000|86|0|3000|2500|347|5|FloatingFbe|691497,65116279083
Test_5_18|7962500|3185|26|3000|2500|178|5|FloatingFbe|18830,751648351648
Test_5_19|0|0|0|3000|2500|132|5|FloatingFbe|60000000
Test_5_20|0|0|0|3000|2500|200|5|FloatingFbe|60000000
Test_5_21|10000|4|0|3000|2500|32|5|FloatingFbe|12644185,5
Test_5_22|52500|21|1|3000|2500|252|5|FloatingFbe|2829988
Test_5_23|7437500|2975|63|3000|2500|73|5|FloatingFbe|20161,989915966387
Test_5_24|15000|6|0|3000|2500|471|5|FloatingFbe|8942959,166666666
Test_5_25|0|0|0|3000|2500|5|5|FloatingFbe|60000000
Test_5_26|97500|39|3|3000|2500|264|5|FloatingFbe|1531456,3333333333
Test_5_27|0|0|0|3000|2500|450|5|FloatingFbe|60000000
Test_5_28|0|0|0|3000|2500|441|5|FloatingFbe|60000000
Test_5_29|0|0|0|3000|2500|199|5|FloatingFbe|60000000
Test_5_30|1302500|521|3|3000|2500|260|5|FloatingFbe|114598,63147792708
Test_5_31|0|0|0|3000|2500|156|5|FloatingFbe|60000000
Test_5_32|9552500|3821|1|3000|2500|53|5|FloatingFbe|15699,543313268778
Test_1_1|22473500|44947|0|1000|500|362|1|FloatingFbe|1334,9006607782496
Test_1_2|8712500|17425|0|1000|500|74|1|FloatingFbe|3443,193113342898
Test_2_1|11790000|23580|0|1000|500|287|2|FloatingFbe|2544,4391857506357
Test_2_2|8209000|16418|55|1000|500|460|2|FloatingFbe|3654,4438421244972
Test_2_3|8529500|17059|0|1000|500|448|2|FloatingFbe|3517,1921566328624
Test_2_4|10424000|20848|55|1000|500|57|2|FloatingFbe|2877,937260168841
Test_3_1|4320500|8641|45|2000|500|103|3|FloatingFbe|6943,0100682791335
Test_3_2|4491000|8982|0|2000|500|30|3|FloatingFbe|6678,3815408594974
Test_3_3|4676000|9352|0|2000|500|209|3|FloatingFbe|6414,7556672369537
Test_3_4|5115500|10231|0|2000|500|93|3|FloatingFbe|5862,8762584302603
Test_3_5|5516500|11033|45|2000|500|455|3|FloatingFbe|5437,9368258859777
Test_3_6|4612500|9225|0|2000|500|294|3|FloatingFbe|6503,9984823848235
Test_3_7|5149000|10298|0|2000|500|157|3|FloatingFbe|5826,2563604583411
