simulation_run|channel_efficiency|fairness_index
1|0,2455|1
2|0,49099999999999999|1
3|0,98198363333333338|0,99999999916663906
4|6,5466666666666668E-05|0,5
5|6,5466666666666668E-05|0,25
1|0,2455|1
2|0,49099999999999999|1
3|0,98198363333333338|0,99999999916663906
4|6,5466666666666668E-05|0,5
5|6,5466666666666668E-05|0,25
1|0,2455|1
2|0,49099999999999999|1
3|0,98198363333333338|0,99999999916663906
4|6,5466666666666668E-05|0,5
5|6,5466666666666668E-05|0,25
1|0,2455|1
2|0,49099999999999999|1
3|0,98198363333333338|0,99999999916663906
4|6,5466666666666668E-05|0,5
5|6,5466666666666668E-05|0,25
1|0,2455|1
2|0,49099999999999999|1
3|0,98198363333333338|0,99999999916663906
4|6,5466666666666668E-05|0,5
5|6,5466666666666668E-05|0,25
1|0,2455|1
2|0,49099999999999999|1
3|0,98198363333333338|0,99999999916663906
4|6,5466666666666668E-05|0,5
5|6,5466666666666668E-05|0,25
1|0,2455|1
2|0,49099999999999999|1
3|0,98198363333333338|0,99999999916663906
4|6,5466666666666668E-05|0,5
5|6,5466666666666668E-05|0,25
1|0,2455|1
2|0,49099999999999999|1
3|0,98198363333333338|0,99999999916663906
4|6,5466666666666668E-05|0,5
5|6,5466666666666668E-05|0,25
1|0,2455|1
2|0,49099999999999999|1
3|0,98198363333333338|0,99999999916663906
4|6,5466666666666668E-05|0,5
5|6,5466666666666668E-05|0,25
1|0,2455|1
2|0,49099999999999999|1
3|0,98198363333333338|0,99999999916663906
4|6,5466666666666668E-05|0,5
5|6,5466666666666668E-05|0,25
