name|air_time|succ_transmissions|failed_transmissions|ffp|cot|offset|simulation_run|station_version|mean_channel_access_delay
Test_1_1|28728000|15120|75|2000|1900|0|1|GreedyEnhancedFbe|3968,2527777777777
Test_1_2|28653900|15081|75|2000|1900|0|1|GreedyEnhancedFbe|3978,3859160533116
Test_2_1|14595800|7682|193|2000|1900|0|2|GreedyEnhancedFbe|7808,6823743816703
Test_2_2|14527400|7646|220|2000|1900|0|2|GreedyEnhancedFbe|7847,2333246141761
Test_2_3|14403900|7581|198|2000|1900|0|2|GreedyEnhancedFbe|7912,4616805170817
Test_2_4|14392500|7575|225|2000|1900|0|2|GreedyEnhancedFbe|7920,5283168316819
Test_3_1|7094600|3734|326|2000|1900|0|3|GreedyEnhancedFbe|16060,790305302626
Test_3_2|7107900|3741|318|2000|1900|0|3|GreedyEnhancedFbe|16037,445870088211
Test_3_3|7050900|3711|338|2000|1900|0|3|GreedyEnhancedFbe|16160,850714093236
Test_3_4|7170600|3774|310|2000|1900|0|3|GreedyEnhancedFbe|15898,244038155803
Test_3_5|7020500|3695|333|2000|1900|0|3|GreedyEnhancedFbe|16233,974560216509
Test_3_6|7085100|3729|346|2000|1900|0|3|GreedyEnhancedFbe|16086,99061410566
Test_3_7|7030000|3700|342|2000|1900|0|3|GreedyEnhancedFbe|16215,68837837838
Test_3_8|7134500|3755|294|2000|1900|0|3|GreedyEnhancedFbe|15971,995472703064
Test_4_1|3401000|1790|354|2000|1900|0|4|GreedyEnhancedFbe|33474,384916201125
Test_4_2|3364900|1771|387|2000|1900|0|4|GreedyEnhancedFbe|33797,677018633542
Test_4_3|3342100|1759|391|2000|1900|0|4|GreedyEnhancedFbe|34050,109721432629
Test_4_4|3401000|1790|372|2000|1900|0|4|GreedyEnhancedFbe|33503,403351955305
Test_4_5|3273700|1723|403|2000|1900|0|4|GreedyEnhancedFbe|34789,451538015092
Test_4_6|3458000|1820|356|2000|1900|0|4|GreedyEnhancedFbe|32953,265934065937
Test_4_7|3300300|1737|379|2000|1900|0|4|GreedyEnhancedFbe|34532,319516407602
Test_4_8|3444700|1813|348|2000|1900|0|4|GreedyEnhancedFbe|33093,2415885273
Test_4_9|3334500|1755|337|2000|1900|0|4|GreedyEnhancedFbe|34181,427920227921
Test_4_10|3332600|1754|415|2000|1900|0|4|GreedyEnhancedFbe|34202,014823261117
Test_4_11|3245200|1708|392|2000|1900|0|4|GreedyEnhancedFbe|35088,221896955503
Test_4_12|3338300|1757|378|2000|1900|0|4|GreedyEnhancedFbe|34131,572566875358
Test_4_13|3351600|1764|367|2000|1900|0|4|GreedyEnhancedFbe|33990,660430839001
Test_4_14|3444700|1813|360|2000|1900|0|4|GreedyEnhancedFbe|33055,025372311087
Test_4_15|3336400|1756|380|2000|1900|0|4|GreedyEnhancedFbe|34168,554669703874
Test_4_16|3414300|1797|352|2000|1900|0|4|GreedyEnhancedFbe|33335,424040066777
Test_5_1|1575100|829|392|2000|1900|0|5|GreedyEnhancedFbe|72353,121833534387
Test_5_2|1544700|813|396|2000|1900|0|5|GreedyEnhancedFbe|73687,239852398532
Test_5_3|1558000|820|398|2000|1900|0|5|GreedyEnhancedFbe|73109,75975609757
Test_5_4|1478200|778|416|2000|1900|0|5|GreedyEnhancedFbe|76982,460154241649
Test_5_5|1480100|779|422|2000|1900|0|5|GreedyEnhancedFbe|76797,335044929394
Test_5_6|1504800|792|414|2000|1900|0|5|GreedyEnhancedFbe|75723,553030303039
Test_5_7|1474400|776|386|2000|1900|0|5|GreedyEnhancedFbe|77274,956185567018
Test_5_8|1455400|766|415|2000|1900|0|5|GreedyEnhancedFbe|78201
Test_5_9|1482000|780|373|2000|1900|0|5|GreedyEnhancedFbe|76913,185897435891
Test_5_10|1531400|806|406|2000|1900|0|5|GreedyEnhancedFbe|73953,168734491308
Test_5_11|1597900|841|372|2000|1900|0|5|GreedyEnhancedFbe|71288,756242568372
Test_5_12|1521900|801|383|2000|1900|0|5|GreedyEnhancedFbe|74460,347066167291
Test_5_13|1506700|793|407|2000|1900|0|5|GreedyEnhancedFbe|75402,769230769234
Test_5_14|1451600|764|409|2000|1900|0|5|GreedyEnhancedFbe|78456,006544502612
Test_5_15|1561800|822|380|2000|1900|0|5|GreedyEnhancedFbe|72934,211678832115
Test_5_16|1506700|793|401|2000|1900|0|5|GreedyEnhancedFbe|75514,179066834811
Test_5_17|1525700|803|409|2000|1900|0|5|GreedyEnhancedFbe|74401,596513075958
Test_5_18|1539000|810|410|2000|1900|0|5|GreedyEnhancedFbe|73822,611111111109
Test_5_19|1514300|797|407|2000|1900|0|5|GreedyEnhancedFbe|75214,750313676283
Test_5_20|1518100|799|395|2000|1900|0|5|GreedyEnhancedFbe|74997,610763454315
Test_5_21|1478200|778|395|2000|1900|0|5|GreedyEnhancedFbe|76992,33290488433
Test_5_22|1444000|760|444|2000|1900|0|5|GreedyEnhancedFbe|78904,322368421053
Test_5_23|1506700|793|392|2000|1900|0|5|GreedyEnhancedFbe|75460,886506935683
Test_5_24|1470600|774|415|2000|1900|0|5|GreedyEnhancedFbe|77467,19121447028
Test_5_25|1463000|770|419|2000|1900|0|5|GreedyEnhancedFbe|77864,627272727274
Test_5_26|1463000|770|407|2000|1900|0|5|GreedyEnhancedFbe|77824,694805194813
Test_5_27|1457300|767|425|2000|1900|0|5|GreedyEnhancedFbe|78199,242503259447
Test_5_28|1430700|753|413|2000|1900|0|5|GreedyEnhancedFbe|79494,944223107566
Test_5_29|1470600|774|405|2000|1900|0|5|GreedyEnhancedFbe|77355,476744186046
Test_5_30|1464900|771|395|2000|1900|0|5|GreedyEnhancedFbe|77526,94941634241
Test_5_31|1457300|767|428|2000|1900|0|5|GreedyEnhancedFbe|78104,046936114726
Test_5_32|1474400|776|398|2000|1900|0|5|GreedyEnhancedFbe|77203,15979381444
Test_1_1|28684300|15097|70|2000|1900|0|1|GreedyEnhancedFbe|3974,2941644035236
Test_1_2|28695700|15103|70|2000|1900|0|1|GreedyEnhancedFbe|3972,5841885718064
Test_2_1|14301300|7527|218|2000|1900|0|2|GreedyEnhancedFbe|7971,0402550817062
Test_2_2|14479900|7621|202|2000|1900|0|2|GreedyEnhancedFbe|7872,9790053798706
Test_2_3|14677500|7725|170|2000|1900|0|2|GreedyEnhancedFbe|7766,23067961165
Test_2_4|14512200|7638|195|2000|1900|0|2|GreedyEnhancedFbe|7854,9446190102108
Test_3_1|7033800|3702|317|2000|1900|0|3|GreedyEnhancedFbe|16207,448136142624
Test_3_2|7024300|3697|337|2000|1900|0|3|GreedyEnhancedFbe|16228,84690289424
Test_3_3|7069900|3721|325|2000|1900|0|3|GreedyEnhancedFbe|16123,1351787154
Test_3_4|7126900|3751|316|2000|1900|0|3|GreedyEnhancedFbe|15988,514262863237
Test_3_5|7134500|3755|358|2000|1900|0|3|GreedyEnhancedFbe|15973,032756324899
Test_3_6|7060400|3716|282|2000|1900|0|3|GreedyEnhancedFbe|16143,269644779333
Test_3_7|7144000|3760|273|2000|1900|0|3|GreedyEnhancedFbe|15956,412765957448
Test_3_8|7161100|3769|323|2000|1900|0|3|GreedyEnhancedFbe|15917,286017511276
Test_4_1|3353500|1765|396|2000|1900|0|4|GreedyEnhancedFbe|33977,960906515582
