name|air_time|succ_transmissions|failed_transmissions|ffp|cot|offset|simulation_run|station_version|mean_channel_access_delay
Test_1_1|5898874|12014|0|2500|491|0|1|RandomMutingFbe|4993,9653737306471
Test_1_2|5882671|11981|0|2500|491|500|1|RandomMutingFbe|5007,6788248059429
Test_2_1|5899365|12015|0|2500|491|0|2|RandomMutingFbe|4993,5497295047853
Test_2_2|4898707|9977|0|2500|491|250|2|RandomMutingFbe|6013,3056028866386
Test_2_3|5270394|10734|0|2500|491|500|2|RandomMutingFbe|5589,4354387926223
Test_2_4|5186433|10563|0|2500|491|750|2|RandomMutingFbe|5679,6601344315059
Test_2_1|5905748|12028|0|2500|491|0|3|RandomMutingFbe|4988,1526438310602
Test_2_2|4918347|10017|0|2500|491|250|3|RandomMutingFbe|5989,0436258360778
Test_2_3|5210983|10613|0|2500|491|500|3|RandomMutingFbe|5653,1612173749181
Test_2_4|5189870|10570|0|2500|491|750|3|RandomMutingFbe|5675,8987701040678
Test_2_5|5305255|10805|0|2500|491|1000|3|RandomMutingFbe|5552,6608051827852
Test_2_6|5319003|10833|0|2500|491|1250|3|RandomMutingFbe|5538,0550170774486
Test_2_7|5382342|10962|0|2500|491|1500|3|RandomMutingFbe|5473,0888523991971
Test_2_8|5378414|10954|0|2500|491|1750|3|RandomMutingFbe|5476,8349461383968
Test_3_1|659413|1343|9169|2500|491|0|4|RandomMutingFbe|44674,236783320928
Test_3_2|489036|996|9023|2500|491|250|4|RandomMutingFbe|60122,740963855424
Test_3_3|44681|91|3524|2500|491|500|4|RandomMutingFbe|659307,69230769237
Test_3_4|377579|769|8873|2500|491|750|4|RandomMutingFbe|77960,663198959694
Test_3_5|258757|527|8553|2500|491|1000|4|RandomMutingFbe|113845,35104364328
Test_3_6|42717|87|5301|2500|491|1250|4|RandomMutingFbe|680991,37931034493
Test_3_7|4456807|9077|0|2500|491|1500|4|RandomMutingFbe|6609,6727993830555
Test_3_8|4335530|8830|0|2500|491|1750|4|RandomMutingFbe|6793,6862967157413
Test_3_9|5381851|10961|0|2500|491|2000|4|RandomMutingFbe|5473,5425599854025
Test_3_10|5152063|10493|0|2500|491|2250|4|RandomMutingFbe|5717,1685885828638
Test_3_11|636336|1296|9169|2500|491|2500|4|RandomMutingFbe|46292,438271604937
Test_3_12|513586|1046|9023|2500|491|2750|4|RandomMutingFbe|57318,11663479924
Test_3_13|35843|73|3524|2500|491|3000|4|RandomMutingFbe|809684,93150684924
Test_3_14|381016|776|8873|2500|491|3250|4|RandomMutingFbe|77215,528350515466
Test_3_15|228806|466|8553|2500|491|3500|4|RandomMutingFbe|128522,53218884121
Test_3_16|50082|102|5301|2500|491|3750|4|RandomMutingFbe|585894,60784313735
Test_4_1|491|1|8000|2500|491|0|5|RandomMutingFbe|60000000
Test_4_2|0|0|7999|2500|491|250|5|RandomMutingFbe|60000000
Test_4_3|491|1|7999|2500|491|500|5|RandomMutingFbe|60000000
Test_4_4|0|0|8000|2500|491|750|5|RandomMutingFbe|60000000
Test_4_5|491|1|7999|2500|491|1000|5|RandomMutingFbe|60000000
Test_4_6|0|0|7999|2500|491|1250|5|RandomMutingFbe|60000000
Test_4_7|491|1|7999|2500|491|1500|5|RandomMutingFbe|60000000
Test_4_8|0|0|7999|2500|491|1750|5|RandomMutingFbe|60000000
Test_4_9|491|1|8000|2500|491|2000|5|RandomMutingFbe|60000000
Test_4_10|0|0|7999|2500|491|2250|5|RandomMutingFbe|60000000
Test_4_11|0|0|8000|2500|491|2500|5|RandomMutingFbe|60000000
Test_4_12|0|0|7999|2500|491|2750|5|RandomMutingFbe|60000000
Test_4_13|0|0|7999|2500|491|3000|5|RandomMutingFbe|60000000
Test_4_14|0|0|8000|2500|491|3250|5|RandomMutingFbe|60000000
Test_4_15|0|0|7999|2500|491|3500|5|RandomMutingFbe|60000000
Test_4_16|0|0|7999|2500|491|3750|5|RandomMutingFbe|60000000
Test_4_17|491|1|7999|2500|491|4000|5|RandomMutingFbe|60000000
Test_4_18|0|0|7999|2500|491|4250|5|RandomMutingFbe|60000000
Test_4_19|0|0|8000|2500|491|4500|5|RandomMutingFbe|60000000
Test_4_20|0|0|7999|2500|491|4750|5|RandomMutingFbe|60000000
Test_4_21|0|0|7999|2500|491|5000|5|RandomMutingFbe|60000000
Test_4_22|0|0|7999|2500|491|5250|5|RandomMutingFbe|60000000
Test_4_23|0|0|7999|2500|491|5500|5|RandomMutingFbe|60000000
Test_4_24|0|0|7999|2500|491|5750|5|RandomMutingFbe|60000000
Test_4_25|0|0|7999|2500|491|6000|5|RandomMutingFbe|60000000
Test_4_26|0|0|7999|2500|491|6250|5|RandomMutingFbe|60000000
Test_4_27|0|0|7999|2500|491|6500|5|RandomMutingFbe|60000000
Test_4_28|0|0|7999|2500|491|6750|5|RandomMutingFbe|60000000
Test_4_29|0|0|7999|2500|491|7000|5|RandomMutingFbe|60000000
Test_4_30|0|0|7999|2500|491|7250|5|RandomMutingFbe|60000000
Test_4_31|0|0|7999|2500|491|7500|5|RandomMutingFbe|60000000
Test_4_32|0|0|7998|2500|491|7750|5|RandomMutingFbe|60000000
Test_1_1|5871869|11959|0|2500|491|0|1|RandomMutingFbe|5016,9328539175513
Test_1_2|5909185|12035|0|2500|491|500|1|RandomMutingFbe|4985,209804736186
Test_2_1|5881198|11978|0|2500|491|0|2|RandomMutingFbe|5008,9747871097006
Test_2_2|4899198|9978|0|2500|491|250|2|RandomMutingFbe|6012,7029464822608
Test_2_3|5250754|10694|0|2500|491|500|2|RandomMutingFbe|5610,3422479895262
Test_2_4|5184469|10559|0|2500|491|750|2|RandomMutingFbe|5681,8117245951316
Test_2_1|5921951|12061|0|2500|491|0|3|RandomMutingFbe|4974,5046016084898
Test_2_2|4884468|9948|0|2500|491|250|3|RandomMutingFbe|6030,584036992359
Test_2_3|5292489|10779|0|2500|491|500|3|RandomMutingFbe|5566,1007514611738
Test_2_4|5155500|10500|0|2500|491|750|3|RandomMutingFbe|5713,7380952380945
Test_2_5|5275304|10744|0|2500|491|1000|3|RandomMutingFbe|5584,1865227103499
Test_2_6|5311638|10818|0|2500|491|1250|3|RandomMutingFbe|5545,7339619153254
Test_2_7|5348954|10894|0|2500|491|1500|3|RandomMutingFbe|5507,2516981824856
Test_2_8|5351900|10900|0|2500|491|1750|3|RandomMutingFbe|5503,9678899082564
Test_3_1|634863|1293|9164|2500|491|0|4|RandomMutingFbe|46401,778808971379
Test_3_2|509658|1038|9089|2500|491|250|4|RandomMutingFbe|57757,466281310219
Test_3_3|39280|80|3399|2500|491|500|4|RandomMutingFbe|749962,5
Test_3_4|388381|791|8875|2500|491|750|4|RandomMutingFbe|75789,19089759799
Test_3_5|252865|515|8558|2500|491|1000|4|RandomMutingFbe|116498,05825242719
Test_3_6|45663|93|5265|2500|491|1250|4|RandomMutingFbe|643642,47311827959
Test_3_7|4462208|9088|0|2500|491|1500|4|RandomMutingFbe|6601,6725352112671
Test_3_8|4347314|8854|0|2500|491|1750|4|RandomMutingFbe|6775,8357804382194
Test_3_9|5398545|10995|0|2500|491|2000|4|RandomMutingFbe|5456,6166439290582
Test_3_10|5151081|10491|0|2500|491|2250|4|RandomMutingFbe|5718,4968067867685
Test_3_11|633390|1290|9164|2500|491|2500|4|RandomMutingFbe|46478,682170542634
Test_3_12|518496|1056|9089|2500|491|2750|4|RandomMutingFbe|56808,47537878788
Test_3_13|43208|88|3399|2500|491|3000|4|RandomMutingFbe|679710,22727272741
Test_3_14|397710|810|8875|2500|491|3250|4|RandomMutingFbe|74033,024691358019
Test_3_15|247464|504|8558|2500|491|3500|4|RandomMutingFbe|118643,84920634922
Test_3_16|41735|85|5265|2500|491|3750|4|RandomMutingFbe|691014,70588235301
Test_4_1|491|1|7999|2500|491|0|5|RandomMutingFbe|60000000
