simulation_run|channel_efficiency|fairness_index
1|0,24548363333333337|1
2|0,49096726666666674|1
3|0,98193453333333347|1
4|6,5466666666666668E-05|0,5
5|6,5466666666666668E-05|0,25
1|0,24548363333333337|1
2|0,49096726666666674|1
3|0,98193453333333347|1
4|6,5466666666666668E-05|0,5
5|6,5466666666666668E-05|0,25
1|0,24548363333333337|1
2|0,49096726666666674|1
3|0,98193453333333347|1
4|6,5466666666666668E-05|0,5
5|6,5466666666666668E-05|0,25
1|0,24548363333333337|1
2|0,49096726666666674|1
3|0,98193453333333347|1
4|6,5466666666666668E-05|0,5
5|6,5466666666666668E-05|0,25
1|0,24548363333333337|1
2|0,49096726666666674|1
3|0,98193453333333347|1
4|6,5466666666666668E-05|0,5
5|6,5466666666666668E-05|0,25
1|0,24548363333333337|1
2|0,49096726666666674|1
3|0,98193453333333347|1
4|6,5466666666666668E-05|0,5
5|6,5466666666666668E-05|0,25
1|0,24548363333333337|1
2|0,49096726666666674|1
3|0,98193453333333347|1
4|6,5466666666666668E-05|0,5
5|6,5466666666666668E-05|0,25
1|0,24548363333333337|1
2|0,49096726666666674|1
3|0,98193453333333347|1
4|6,5466666666666668E-05|0,5
5|6,5466666666666668E-05|0,25
1|0,24548363333333337|1
2|0,49096726666666674|1
3|0,98193453333333347|1
4|6,5466666666666668E-05|0,5
5|6,5466666666666668E-05|0,25
1|0,24548363333333337|1
2|0,49096726666666674|1
3|0,98193453333333347|1
4|6,5466666666666668E-05|0,5
5|6,5466666666666668E-05|0,25
