name|air_time|succ_transmissions|failed_transmissions|ffp|cot|offset|simulation_run|station_version|mean_channel_access_delay
Test_1_1|28982600|15254|32|2000|1900|0|1|BitrFbe|3933,2592762554082
Test_1_2|28931300|15227|32|2000|1900|0|1|BitrFbe|3940,1052735272865
Test_2_1|14430500|7595|201|2000|1900|0|2|BitrFbe|7898,9025674786035
Test_2_2|14474200|7618|185|2000|1900|0|2|BitrFbe|7876,0794171698599
Test_2_3|14445700|7603|206|2000|1900|0|2|BitrFbe|7891,1029856635532
Test_2_4|14432400|7596|193|2000|1900|0|2|BitrFbe|7897,6090047393354
Test_3_1|7199100|3789|152|2000|1900|0|3|BitrFbe|15828,119028767485
Test_3_2|7237100|3809|149|2000|1900|0|3|BitrFbe|15751,643475977948
Test_3_3|7197200|3788|146|2000|1900|0|3|BitrFbe|15836,906810982051
Test_3_4|7305500|3845|136|2000|1900|0|3|BitrFbe|15603,154486345906
Test_3_5|7166800|3772|175|2000|1900|0|3|BitrFbe|15904,608695652176
Test_3_6|7140200|3758|163|2000|1900|0|3|BitrFbe|15965,929749866949
Test_3_7|7149700|3763|141|2000|1900|0|3|BitrFbe|15936,452564443265
Test_3_8|7172500|3775|136|2000|1900|0|3|BitrFbe|15893,002119205297
Test_4_1|3547300|1867|79|2000|1900|0|4|BitrFbe|32099,633636850565
Test_4_2|3592900|1891|83|2000|1900|0|4|BitrFbe|31701,472765732418
Test_4_3|3617600|1904|76|2000|1900|0|4|BitrFbe|31487,05199579832
Test_4_4|3613800|1902|96|2000|1900|0|4|BitrFbe|31535,46792849632
Test_4_5|3520700|1853|95|2000|1900|0|4|BitrFbe|32376,775499190502
Test_4_6|3522600|1854|90|2000|1900|0|4|BitrFbe|32354,028047464941
Test_4_7|3703100|1949|91|2000|1900|0|4|BitrFbe|30774,003591585428
Test_4_8|3562500|1875|81|2000|1900|0|4|BitrFbe|31998,953066666669
Test_4_9|3670800|1932|85|2000|1900|0|4|BitrFbe|31041,759834368531
Test_4_10|3560600|1874|104|2000|1900|0|4|BitrFbe|32015
Test_4_11|3501700|1843|88|2000|1900|0|4|BitrFbe|32537,654910472054
Test_4_12|3640400|1916|91|2000|1900|0|4|BitrFbe|31306,052192066803
Test_4_13|3684100|1939|77|2000|1900|0|4|BitrFbe|30889,678700361012
Test_4_14|3629000|1910|90|2000|1900|0|4|BitrFbe|31392,218324607329
Test_4_15|3528300|1857|92|2000|1900|0|4|BitrFbe|32310,158319870759
Test_4_16|3575800|1882|76|2000|1900|0|4|BitrFbe|31865,432518597238
Test_5_1|1759400|926|53|2000|1900|0|5|BitrFbe|64583,381209503241
Test_5_2|1770800|932|42|2000|1900|0|5|BitrFbe|64365,209227467814
Test_5_3|1829700|963|50|2000|1900|0|5|BitrFbe|62251,043613707159
Test_5_4|1810700|953|43|2000|1900|0|5|BitrFbe|62934,717733473241
Test_5_5|1666300|877|51|2000|1900|0|5|BitrFbe|68118,904218928161
Test_5_6|1827800|962|52|2000|1900|0|5|BitrFbe|62339,912681912683
Test_5_7|1767000|930|52|2000|1900|0|5|BitrFbe|64507,773118279569
Test_5_8|1761300|927|29|2000|1900|0|5|BitrFbe|64614,143473570657
Test_5_9|1835400|966|46|2000|1900|0|5|BitrFbe|62021,502070393377
Test_5_10|1748000|920|46|2000|1900|0|5|BitrFbe|65177,457608695659
Test_5_11|1810700|953|41|2000|1900|0|5|BitrFbe|62869,559286463802
Test_5_12|1856300|977|54|2000|1900|0|5|BitrFbe|61392,689866939611
Test_5_13|1810700|953|50|2000|1900|0|5|BitrFbe|62942,83420776495
Test_5_14|1751800|922|42|2000|1900|0|5|BitrFbe|65000,261388286337
Test_5_15|1761300|927|45|2000|1900|0|5|BitrFbe|64687,384034519957
Test_5_16|1869600|984|46|2000|1900|0|5|BitrFbe|60916,576219512193
Test_5_17|1822100|959|51|2000|1900|0|5|BitrFbe|62565,153284671534
Test_5_18|1850600|974|53|2000|1900|0|5|BitrFbe|61599,627310061602
Test_5_19|1818300|957|56|2000|1900|0|5|BitrFbe|62653,470219435738
Test_5_20|1789800|942|49|2000|1900|0|5|BitrFbe|63583,200636942682
Test_5_21|1765100|929|51|2000|1900|0|5|BitrFbe|64483,373519913883
Test_5_22|1820200|958|43|2000|1900|0|5|BitrFbe|62626,419624217117
Test_5_23|1789800|942|37|2000|1900|0|5|BitrFbe|63618,148619957537
Test_5_24|1825900|961|45|2000|1900|0|5|BitrFbe|62364,39750260146
Test_5_25|1867700|983|41|2000|1900|0|5|BitrFbe|61031,694811800611
Test_5_26|1854400|976|40|2000|1900|0|5|BitrFbe|61461,524590163935
Test_5_27|1829700|963|46|2000|1900|0|5|BitrFbe|62240,935617860858
Test_5_28|1727100|909|44|2000|1900|0|5|BitrFbe|65703,880088008795
Test_5_29|1721400|906|53|2000|1900|0|5|BitrFbe|66126,760485651219
Test_5_30|1700500|895|56|2000|1900|0|5|BitrFbe|67028,270391061451
Test_5_31|1725200|908|42|2000|1900|0|5|BitrFbe|65991,737885462557
Test_5_32|1877200|988|47|2000|1900|0|5|BitrFbe|60634,606275303639
Test_1_1|28946500|15235|47|2000|1900|0|1|BitrFbe|3938,1669182802752
Test_1_2|28938900|15231|47|2000|1900|0|1|BitrFbe|3939,0740594839467
