name|air_time|succ_transmissions|failed_transmissions|ffp|cot|offset|simulation_run|station_version|mean_channel_access_delay
Test_1_1|17994600|19994|7|1000|900|0|1|DeterministicBackoffFbe|3000
Test_1_2|17995500|19995|7|1000|900|0|1|DeterministicBackoffFbe|2999,8999749937479
Test_2_1|10384200|11538|493|1000|900|0|2|DeterministicBackoffFbe|5198,474605650892
Test_2_2|10605600|11784|448|1000|900|0|2|DeterministicBackoffFbe|5088,9341479972836
Test_2_3|10484100|11649|460|1000|900|0|2|DeterministicBackoffFbe|5150,2274873379683
Test_2_4|10400400|11556|511|1000|900|0|2|DeterministicBackoffFbe|5191,2426445136716
Test_3_1|2690100|2989|4208|1000|900|0|3|DeterministicBackoffFbe|20071,261291401806
Test_3_2|2840400|3156|4149|1000|900|0|3|DeterministicBackoffFbe|19007,604562737644
Test_3_3|2652300|2947|4123|1000|900|0|3|DeterministicBackoffFbe|20349,507974211065
Test_3_4|2831400|3146|4163|1000|900|0|3|DeterministicBackoffFbe|19068,658614113163
Test_3_5|2692800|2992|4169|1000|900|0|3|DeterministicBackoffFbe|20049,131016042782
Test_3_6|2607300|2897|4122|1000|900|0|3|DeterministicBackoffFbe|20691,05971694857
Test_3_7|2662200|2958|4041|1000|900|0|3|DeterministicBackoffFbe|20278,9046653144
Test_3_8|2640600|2934|4056|1000|900|0|3|DeterministicBackoffFbe|20429,788684389914
Test_4_1|1280700|1423|2187|1000|900|0|4|DeterministicBackoffFbe|42100,491918482083
Test_4_2|1369800|1522|2219|1000|900|0|4|DeterministicBackoffFbe|39406,701708278582
Test_4_3|1306800|1452|2176|1000|900|0|4|DeterministicBackoffFbe|41308,539944903583
Test_4_4|1251000|1390|2176|1000|900|0|4|DeterministicBackoffFbe|43057,553956834534
Test_4_5|1207800|1342|2071|1000|900|0|4|DeterministicBackoffFbe|44705,663189269748
Test_4_6|1466100|1629|2267|1000|900|0|4|DeterministicBackoffFbe|36822,590546347456
Test_4_7|1323900|1471|2262|1000|900|0|4|DeterministicBackoffFbe|40764,785859959215
Test_4_8|1176300|1307|2159|1000|900|0|4|DeterministicBackoffFbe|45865,340474368779
Test_4_9|1176300|1307|2133|1000|900|0|4|DeterministicBackoffFbe|45867,63580719204
Test_4_10|1330200|1478|2222|1000|900|0|4|DeterministicBackoffFbe|40577,131258457375
Test_4_11|1344600|1494|2216|1000|900|0|4|DeterministicBackoffFbe|40155,287817938421
Test_4_12|1232100|1369|2154|1000|900|0|4|DeterministicBackoffFbe|43823,228634039442
Test_4_13|1266300|1407|2165|1000|900|0|4|DeterministicBackoffFbe|42526,652452025584
Test_4_14|1259100|1399|2202|1000|900|0|4|DeterministicBackoffFbe|42832,737669764123
Test_4_15|1267200|1408|2170|1000|900|0|4|DeterministicBackoffFbe|42600,852272727272
Test_4_16|1301400|1446|2204|1000|900|0|4|DeterministicBackoffFbe|41466,113416320892
Test_5_1|667800|742|1138|1000|900|0|5|DeterministicBackoffFbe|80801,886792452846
Test_5_2|639000|710|1076|1000|900|0|5|DeterministicBackoffFbe|84428,169014084517
Test_5_3|599400|666|1121|1000|900|0|5|DeterministicBackoffFbe|90019,519519519527
Test_5_4|619200|688|1109|1000|900|0|5|DeterministicBackoffFbe|87111,918604651175
Test_5_5|576900|641|1074|1000|900|0|5|DeterministicBackoffFbe|93553,822152886118
Test_5_6|665100|739|1155|1000|900|0|5|DeterministicBackoffFbe|80860,622462787564
Test_5_7|649800|722|1115|1000|900|0|5|DeterministicBackoffFbe|83059,556786703601
Test_5_8|586800|652|1079|1000|900|0|5|DeterministicBackoffFbe|91809,815950920252
Test_5_9|658800|732|1121|1000|900|0|5|DeterministicBackoffFbe|81942,62295081967
Test_5_10|612900|681|1125|1000|900|0|5|DeterministicBackoffFbe|87901,615271659335
Test_5_11|674100|749|1148|1000|900|0|5|DeterministicBackoffFbe|80054,739652870499
Test_5_12|677700|753|1150|1000|900|0|5|DeterministicBackoffFbe|79616,201859229754
Test_5_13|676800|752|1169|1000|900|0|5|DeterministicBackoffFbe|79703,457446808519
Test_5_14|623700|693|1141|1000|900|0|5|DeterministicBackoffFbe|86468,975468975477
Test_5_15|602100|669|1088|1000|900|0|5|DeterministicBackoffFbe|89449,92526158446
Test_5_16|615600|684|1119|1000|900|0|5|DeterministicBackoffFbe|87640,350877192992
Test_5_17|597600|664|1105|1000|900|0|5|DeterministicBackoffFbe|89948,795180722896
Test_5_18|672300|747|1157|1000|900|0|5|DeterministicBackoffFbe|80174,029451137889
Test_5_19|665100|739|1148|1000|900|0|5|DeterministicBackoffFbe|80849,797023004066
Test_5_20|565200|628|1106|1000|900|0|5|DeterministicBackoffFbe|95350,318471337581
Test_5_21|588600|654|1072|1000|900|0|5|DeterministicBackoffFbe|91665,137614678912
Test_5_22|594000|660|1086|1000|900|0|5|DeterministicBackoffFbe|90607,575757575774
Test_5_23|655200|728|1102|1000|900|0|5|DeterministicBackoffFbe|82280,219780219792
Test_5_24|666000|740|1149|1000|900|0|5|DeterministicBackoffFbe|81051,351351351361
Test_5_25|637200|708|1120|1000|900|0|5|DeterministicBackoffFbe|84528,248587570619
Test_5_26|643500|715|1151|1000|900|0|5|DeterministicBackoffFbe|83907,692307692312
Test_5_27|645300|717|1123|1000|900|0|5|DeterministicBackoffFbe|83476,987447698746
Test_5_28|544500|605|1018|1000|900|0|5|DeterministicBackoffFbe|99077,68595041323
Test_5_29|558000|620|1073|1000|900|0|5|DeterministicBackoffFbe|96406,451612903213
Test_5_30|660600|734|1127|1000|900|0|5|DeterministicBackoffFbe|81723,433242506813
Test_5_31|667800|742|1197|1000|900|0|5|DeterministicBackoffFbe|80830,188679245286
Test_5_32|619200|688|1101|1000|900|0|5|DeterministicBackoffFbe|86940,406976744183
Test_1_1|17998200|19998|2|1000|900|0|1|DeterministicBackoffFbe|3000
Test_1_2|17999100|19999|2|1000|900|0|1|DeterministicBackoffFbe|2999,8999949997497
Test_2_1|10663200|11848|250|1000|900|0|2|DeterministicBackoffFbe|5062,7954085077645
Test_2_2|10613700|11793|253|1000|900|0|2|DeterministicBackoffFbe|5086,6615789027392
Test_2_3|10552500|11725|284|1000|900|0|2|DeterministicBackoffFbe|5116,7590618336881
Test_2_4|10647000|11830|250|1000|900|0|2|DeterministicBackoffFbe|5070,9213863060013
Test_3_1|2878200|3198|4130|1000|900|0|3|DeterministicBackoffFbe|18758,286429018135
Test_3_2|2714400|3016|4172|1000|900|0|3|DeterministicBackoffFbe|19888,262599469497
Test_3_3|2713500|3015|4115|1000|900|0|3|DeterministicBackoffFbe|19892,205638474294
Test_3_4|2548800|2832|4040|1000|900|0|3|DeterministicBackoffFbe|21184,675141242937
Test_3_5|2679300|2977|4147|1000|900|0|3|DeterministicBackoffFbe|20145,112529392009
Test_3_6|2852100|3169|4199|1000|900|0|3|DeterministicBackoffFbe|18931,524140107289
Test_3_7|2690100|2989|4123|1000|900|0|3|DeterministicBackoffFbe|20070,926731348278
