name|air_time|succ_transmissions|failed_transmissions|ffp|cot|offset|simulation_run|station_version|mean_channel_access_delay
Test_1_1|22600500|11895|5934|2000|1900|0|1|EnhancedFbe|5043,7931063472042
Test_1_2|22570100|11879|5934|2000|1900|0|1|EnhancedFbe|5050,077784325279
Test_2_1|11016200|5798|3388|2000|1900|0|2|EnhancedFbe|10341,764401517767
Test_2_2|11151100|5869|3348|2000|1900|0|2|EnhancedFbe|10221,476742204806
Test_2_3|10968700|5773|3474|2000|1900|0|2|EnhancedFbe|10393,206651654253
Test_2_4|11115000|5850|3348|2000|1900|0|2|EnhancedFbe|10255,366153846155
Test_3_1|5403600|2844|1768|2000|1900|0|3|EnhancedFbe|21092,057313642756
Test_3_2|5549900|2921|1726|2000|1900|0|3|EnhancedFbe|20538,81650119822
Test_3_3|5375100|2829|1766|2000|1900|0|3|EnhancedFbe|21208,898197242841
Test_3_4|5491000|2890|1768|2000|1900|0|3|EnhancedFbe|20760,534948096887
Test_3_5|5506200|2898|1768|2000|1900|0|3|EnhancedFbe|20698,322636300898
Test_3_6|5515700|2903|1737|2000|1900|0|3|EnhancedFbe|20666,865311746471
Test_3_7|5470100|2879|1715|2000|1900|0|3|EnhancedFbe|20825,778047933309
Test_3_8|5570800|2932|1733|2000|1900|0|3|EnhancedFbe|20461,072646657572
Test_4_1|2794900|1471|883|2000|1900|0|4|EnhancedFbe|40741,593473827328
Test_4_2|2656200|1398|862|2000|1900|0|4|EnhancedFbe|42918,4356223176
Test_4_3|2796800|1472|947|2000|1900|0|4|EnhancedFbe|40745,667119565216
Test_4_4|2891800|1522|849|2000|1900|0|4|EnhancedFbe|39417,794349540076
Test_4_5|2724600|1434|879|2000|1900|0|4|EnhancedFbe|41839,578103207816
Test_4_6|2718900|1431|910|2000|1900|0|4|EnhancedFbe|41915,922431865831
Test_4_7|2652400|1396|916|2000|1900|0|4|EnhancedFbe|42968,268624641838
Test_4_8|2599200|1368|885|2000|1900|0|4|EnhancedFbe|43826,906432748539
Test_4_9|2832900|1491|837|2000|1900|0|4|EnhancedFbe|40147,396378269616
Test_4_10|2783500|1465|881|2000|1900|0|4|EnhancedFbe|40930,640273037548
Test_4_11|2544100|1339|870|2000|1900|0|4|EnhancedFbe|44710,905899925317
Test_4_12|2808200|1478|881|2000|1900|0|4|EnhancedFbe|40592,650202976998
Test_4_13|2756900|1451|869|2000|1900|0|4|EnhancedFbe|41340,951757408686
Test_4_14|2717000|1430|880|2000|1900|0|4|EnhancedFbe|41940,981818181819
Test_4_15|2696100|1419|876|2000|1900|0|4|EnhancedFbe|42248,843551797043
Test_4_16|2838600|1494|910|2000|1900|0|4|EnhancedFbe|40138,84404283802
Test_5_1|1407900|741|436|2000|1900|0|5|EnhancedFbe|80947,00404858301
Test_5_2|1328100|699|449|2000|1900|0|5|EnhancedFbe|85744,011444921329
Test_5_3|1354700|713|454|2000|1900|0|5|EnhancedFbe|84145,736325385704
Test_5_4|1290100|679|463|2000|1900|0|5|EnhancedFbe|88299,540500736388
Test_5_5|1392700|733|468|2000|1900|0|5|EnhancedFbe|81788,934515688961
Test_5_6|1347100|709|457|2000|1900|0|5|EnhancedFbe|84574,760225669961
Test_5_7|1286300|677|458|2000|1900|0|5|EnhancedFbe|88617,270310192034
Test_5_8|1337600|704|470|2000|1900|0|5|EnhancedFbe|85212,825284090912
Test_5_9|1288200|678|421|2000|1900|0|5|EnhancedFbe|88450,69026548673
Test_5_10|1421200|748|449|2000|1900|0|5|EnhancedFbe|80070,074866310169
