name|air_time|succ_transmissions|failed_transmissions|ffp|cot|offset|simulation_run|station_version|mean_channel_access_delay
Test_1_1|18883500|37767|0|1000|500|0|1|FloatingFbe|1588,6799586940979
Test_1_2|18871500|37743|0|1000|500|500|1|FloatingFbe|1589,5931430993824
Test_2_1|10709000|21418|662|1000|500|0|2|FloatingFbe|2801,379493883649
Test_2_2|10781000|21562|685|1000|500|500|2|FloatingFbe|2782,6316668212594
Test_2_3|10884000|21768|662|1000|500|1000|2|FloatingFbe|2756,1355659683936
Test_2_4|10672000|21344|685|1000|500|1500|2|FloatingFbe|2811,0199587706143
Test_3_1|5109000|10218|76|2000|500|0|3|FloatingFbe|5871,9870816206685
Test_3_2|5095000|10190|69|2000|500|500|3|FloatingFbe|5887,971442590775
Test_3_3|5109500|10219|69|2000|500|1000|3|FloatingFbe|5871,2098052647034
Test_3_4|5110000|10220|61|2000|500|1500|3|FloatingFbe|5869,7719178082189
Test_3_5|5114500|10229|76|2000|500|2000|3|FloatingFbe|5865,2321830090914
Test_3_6|5099000|10198|69|2000|500|2500|3|FloatingFbe|5883,2464208668362
Test_3_7|5023000|10046|69|2000|500|3000|3|FloatingFbe|5970,7732430818241
Test_3_8|5104000|10208|61|2000|500|3500|3|FloatingFbe|5876,9235893416917
Test_4_1|3012000|6024|116|2000|500|0|4|FloatingFbe|9958,7028552456832
Test_4_2|2924000|5848|110|2000|500|500|4|FloatingFbe|10257,996238030097
Test_4_3|2893000|5786|111|2000|500|1000|4|FloatingFbe|10369,665226408571
Test_4_4|2975500|5951|122|2000|500|1500|4|FloatingFbe|10081,96000672156
Test_4_5|3035500|6071|117|2000|500|2000|4|FloatingFbe|9882,4913523307532
Test_4_6|2993000|5986|111|2000|500|2500|4|FloatingFbe|10019,848980955563
Test_4_7|2986500|5973|111|2000|500|3000|4|FloatingFbe|10044,547463586137
Test_4_8|2959500|5919|122|2000|500|3500|4|FloatingFbe|10134,483020780537
Test_4_9|2993500|5987|124|2000|500|4000|4|FloatingFbe|10017,93085017538
Test_4_10|2954000|5908|109|2000|500|4500|4|FloatingFbe|10154,9365267434
