name|air_time|succ_transmissions|failed_transmissions|ffp|cot|offset|simulation_run|station_version|mean_channel_access_delay
Test_1_1|29440500|15495|2|2000|1900|0|1|GreedyEnhancedFbe|3871,9540496934492
Test_1_2|29440500|15495|2|2000|1900|0|1|GreedyEnhancedFbe|3871,8297515327522
Test_2_1|14384900|7571|430|2000|1900|0|2|GreedyEnhancedFbe|7924,2089552238813
Test_2_2|14462800|7612|439|2000|1900|0|2|GreedyEnhancedFbe|7880,5114293221222
Test_2_3|14181600|7464|420|2000|1900|0|2|GreedyEnhancedFbe|8038,5827974276526
Test_2_4|14449500|7605|398|2000|1900|0|2|GreedyEnhancedFbe|7888,525969756738
Test_3_1|7140200|3758|319|2000|1900|0|3|GreedyEnhancedFbe|15962,842735497605
Test_3_2|7024300|3697|334|2000|1900|0|3|GreedyEnhancedFbe|16229,370300243443
Test_3_3|7088900|3731|337|2000|1900|0|3|GreedyEnhancedFbe|16078,886357544894
Test_3_4|7073700|3723|339|2000|1900|0|3|GreedyEnhancedFbe|16115,510878323934
Test_3_5|7058500|3715|337|2000|1900|0|3|GreedyEnhancedFbe|16132,039838492597
Test_3_6|7049000|3710|361|2000|1900|0|3|GreedyEnhancedFbe|16167,812129380054
Test_3_7|7128800|3752|306|2000|1900|0|3|GreedyEnhancedFbe|15987,34488272921
Test_3_8|7049000|3710|346|2000|1900|0|3|GreedyEnhancedFbe|16166,769002695419
Test_4_1|3439000|1810|201|2000|1900|0|4|GreedyEnhancedFbe|33147,003314917129
Test_4_2|3503600|1844|184|2000|1900|0|4|GreedyEnhancedFbe|32530,581344902388
Test_4_3|3532100|1859|209|2000|1900|0|4|GreedyEnhancedFbe|32260,830016137708
Test_4_4|3471300|1827|214|2000|1900|0|4|GreedyEnhancedFbe|32819,56376573618
Test_4_5|3439000|1810|197|2000|1900|0|4|GreedyEnhancedFbe|33149,131491712709
Test_4_6|3549200|1868|167|2000|1900|0|4|GreedyEnhancedFbe|32115,751605995716
Test_4_7|3541600|1864|183|2000|1900|0|4|GreedyEnhancedFbe|32175,330472103004
Test_4_8|3454200|1818|225|2000|1900|0|4|GreedyEnhancedFbe|32994,759625962593
Test_4_9|3594800|1892|186|2000|1900|0|4|GreedyEnhancedFbe|31700,18181818182
Test_4_10|3551100|1869|191|2000|1900|0|4|GreedyEnhancedFbe|32092,346709470305
Test_4_11|3401000|1790|197|2000|1900|0|4|GreedyEnhancedFbe|33514,117877094977
Test_4_12|3549200|1868|174|2000|1900|0|4|GreedyEnhancedFbe|32113,664346895079
Test_4_13|3515000|1850|202|2000|1900|0|4|GreedyEnhancedFbe|32403,164324324327
Test_4_14|3579600|1884|198|2000|1900|0|4|GreedyEnhancedFbe|31807,138004246288
Test_4_15|3535900|1861|194|2000|1900|0|4|GreedyEnhancedFbe|32224,094572810318
Test_4_16|3570100|1879|199|2000|1900|0|4|GreedyEnhancedFbe|31920,526875997875
Test_5_1|1732800|912|110|2000|1900|0|5|GreedyEnhancedFbe|65685,764254385969
Test_5_2|1734700|913|105|2000|1900|0|5|GreedyEnhancedFbe|65571,579408543257
Test_5_3|1833500|965|87|2000|1900|0|5|GreedyEnhancedFbe|62122,091191709849
Test_5_4|1797400|946|103|2000|1900|0|5|GreedyEnhancedFbe|63375,894291754761
Test_5_5|1717600|904|103|2000|1900|0|5|GreedyEnhancedFbe|66365,19026548673
Test_5_6|1753700|923|95|2000|1900|0|5|GreedyEnhancedFbe|64854,901408450707
Test_5_7|1744200|918|102|2000|1900|0|5|GreedyEnhancedFbe|65266,945533769067
Test_5_8|1749900|921|121|2000|1900|0|5|GreedyEnhancedFbe|65004,099891422367
Test_5_9|1765100|929|82|2000|1900|0|5|GreedyEnhancedFbe|64456,754574811624
Test_5_10|1744200|918|95|2000|1900|0|5|GreedyEnhancedFbe|65319,435729847493
Test_5_11|1774600|934|88|2000|1900|0|5|GreedyEnhancedFbe|64173,677730192721
Test_5_12|1675800|882|122|2000|1900|0|5|GreedyEnhancedFbe|68009,619047619053
Test_5_13|1761300|927|97|2000|1900|0|5|GreedyEnhancedFbe|64701,928802588991
Test_5_14|1806900|951|114|2000|1900|0|5|GreedyEnhancedFbe|63050,807570977922
Test_5_15|1751800|922|107|2000|1900|0|5|GreedyEnhancedFbe|64994,275488069412
Test_5_16|1727100|909|110|2000|1900|0|5|GreedyEnhancedFbe|65919,539053905391
Test_5_17|1734700|913|89|2000|1900|0|5|GreedyEnhancedFbe|65662,368017524641
Test_5_18|1761300|927|104|2000|1900|0|5|GreedyEnhancedFbe|64697,763754045307
Test_5_19|1755600|924|109|2000|1900|0|5|GreedyEnhancedFbe|64826,417748917745
Test_5_20|1755600|924|112|2000|1900|0|5|GreedyEnhancedFbe|64859,877705627703
Test_5_21|1732800|912|104|2000|1900|0|5|GreedyEnhancedFbe|65785,151315789481
Test_5_22|1803100|949|91|2000|1900|0|5|GreedyEnhancedFbe|63177,578503688092
Test_5_23|1759400|926|103|2000|1900|0|5|GreedyEnhancedFbe|64663,497840172786
Test_5_24|1761300|927|96|2000|1900|0|5|GreedyEnhancedFbe|64706,103559870557
Test_5_25|1789800|942|90|2000|1900|0|5|GreedyEnhancedFbe|63612,302547770705
Test_5_26|1729000|910|110|2000|1900|0|5|GreedyEnhancedFbe|65900,004395604396
Test_5_27|1725200|908|105|2000|1900|0|5|GreedyEnhancedFbe|66079,245594713648
Test_5_28|1738500|915|101|2000|1900|0|5|GreedyEnhancedFbe|65461,942076502746
Test_5_29|1784100|939|97|2000|1900|0|5|GreedyEnhancedFbe|63834,015974440896
Test_5_30|1738500|915|99|2000|1900|0|5|GreedyEnhancedFbe|65563,147540983613
Test_5_31|1757500|925|101|2000|1900|0|5|GreedyEnhancedFbe|64793,915675675678
Test_5_32|1730900|911|111|2000|1900|0|5|GreedyEnhancedFbe|65633,00109769484
Test_1_1|29442400|15496|0|2000|1900|0|1|GreedyEnhancedFbe|3871,9652168301495
Test_1_2|29440500|15495|0|2000|1900|0|1|GreedyEnhancedFbe|3872,0908034849945
Test_2_1|14346900|7551|408|2000|1900|0|2|GreedyEnhancedFbe|7945,4537147397705
Test_2_2|14284200|7518|383|2000|1900|0|2|GreedyEnhancedFbe|7979,8152434158028
Test_2_3|14447600|7604|394|2000|1900|0|2|GreedyEnhancedFbe|7890,3282482903733
Test_2_4|14548300|7657|348|2000|1900|0|2|GreedyEnhancedFbe|7835,9647381480991
Test_3_1|7028100|3699|307|2000|1900|0|3|GreedyEnhancedFbe|16219,544201135443
Test_3_2|7033800|3702|329|2000|1900|0|3|GreedyEnhancedFbe|16202,2358184765
Test_3_3|7047100|3709|335|2000|1900|0|3|GreedyEnhancedFbe|16176,33324346185
Test_3_4|7164900|3771|321|2000|1900|0|3|GreedyEnhancedFbe|15904,752850702731
Test_3_5|7085100|3729|312|2000|1900|0|3|GreedyEnhancedFbe|16079,762134620543
Test_3_6|7151600|3764|307|2000|1900|0|3|GreedyEnhancedFbe|15938,425345377258
Test_3_7|6990100|3679|334|2000|1900|0|3|GreedyEnhancedFbe|16308,769774395218
Test_3_8|7227600|3804|315|2000|1900|0|3|GreedyEnhancedFbe|15771,337539432177
Test_4_1|3484600|1834|183|2000|1900|0|4|GreedyEnhancedFbe|32713,261177753546
Test_4_2|3526400|1856|167|2000|1900|0|4|GreedyEnhancedFbe|32313,029094827587
Test_4_3|3541600|1864|178|2000|1900|0|4|GreedyEnhancedFbe|32182,621244635189
Test_4_4|3484600|1834|195|2000|1900|0|4|GreedyEnhancedFbe|32708,005452562706
Test_4_5|3524500|1855|197|2000|1900|0|4|GreedyEnhancedFbe|32325,247439353101
