name|air_time|succ_transmissions|failed_transmissions|ffp|cot|offset|simulation_run|station_version|mean_channel_access_delay
Test_1_1|14723617|29987|0|1000|491|0|1|RandomMutingFbe|2000,8336946009933
Test_1_2|14735892|30012|0|1000|491|500|1|RandomMutingFbe|1999,1503398640543
Test_2_1|9822946|20006|0|1500|491|0|2|RandomMutingFbe|2999,025292412276
Test_2_2|8183497|16667|0|1500|491|250|2|RandomMutingFbe|3599,6430071398572
Test_2_3|8804121|17931|0|1500|491|500|2|RandomMutingFbe|3346,0487424014273
Test_2_4|8606248|17528|0|1500|491|750|2|RandomMutingFbe|3422,8805340027384
Test_2_1|5880707|11977|0|2500|491|0|3|RandomMutingFbe|5009,3930032562403
Test_2_2|4923748|10028|0|2500|491|250|3|RandomMutingFbe|5982,4740725967285
Test_2_3|5295435|10785|0|2500|491|500|3|RandomMutingFbe|5563,0041724617513
Test_2_4|5180541|10551|0|2500|491|750|3|RandomMutingFbe|5685,8828547057146
Test_2_5|5289052|10772|0|2500|491|1000|3|RandomMutingFbe|5569,6713702190864
Test_2_6|5303291|10801|0|2500|491|1250|3|RandomMutingFbe|5554,4625497639117
Test_2_7|5347481|10891|0|2500|491|1500|3|RandomMutingFbe|5508,768708107611
Test_2_8|5371049|10939|0|2500|491|1750|3|RandomMutingFbe|5484,3450041137212
Test_3_1|3286263|6693|0|4500|491|0|4|RandomMutingFbe|8963,9175257731968
Test_3_2|2712775|5525|0|4500|491|250|4|RandomMutingFbe|10857,239819004526
Test_3_3|2943054|5994|0|4500|491|500|4|RandomMutingFbe|10009,175842509176
Test_3_4|2861057|5827|0|4500|491|750|4|RandomMutingFbe|10294,448258108805
Test_3_5|2956802|6022|0|4500|491|1000|4|RandomMutingFbe|9962,5539687811361
Test_3_6|2937162|5982|0|4500|491|1250|4|RandomMutingFbe|10027,62454028753
Test_3_7|2971041|6051|0|4500|491|1500|4|RandomMutingFbe|9914,724838869608
Test_3_8|3014740|6140|0|4500|491|1750|4|RandomMutingFbe|9770,2361563517916
Test_3_9|2997064|6104|0|4500|491|2000|4|RandomMutingFbe|9828,5550458715588
Test_3_10|3015231|6141|0|4500|491|2250|4|RandomMutingFbe|9768,563751831949
Test_3_11|3042727|6197|0|4500|491|2500|4|RandomMutingFbe|9680,9746651605619
Test_3_12|3037817|6187|0|4500|491|2750|4|RandomMutingFbe|9695,8542104412481
Test_3_13|3051074|6214|0|4500|491|3000|4|RandomMutingFbe|9654,409398133248
Test_3_14|3068750|6250|0|4500|491|3250|4|RandomMutingFbe|9598,0400000000009
Test_3_15|3060894|6234|0|4500|491|3500|4|RandomMutingFbe|9623,3557908245111
Test_3_16|3071696|6256|0|4500|491|3750|4|RandomMutingFbe|9588,7547953964204
Test_4_1|1727338|3518|0|8500|491|0|5|RandomMutingFbe|17052,728823194997
Test_4_2|1448450|2950|0|8500|491|250|5|RandomMutingFbe|20330,254237288136
Test_4_3|1535357|3127|0|8500|491|500|5|RandomMutingFbe|19184,841701311161
Test_4_4|1535848|3128|0|8500|491|750|5|RandomMutingFbe|19175,911125319693
Test_4_5|1547141|3151|0|8500|491|1000|5|RandomMutingFbe|19038,559187559506
Test_4_6|1570218|3198|0|8500|491|1250|5|RandomMutingFbe|18756,019387116947
Test_4_7|1564817|3187|0|8500|491|1500|5|RandomMutingFbe|18823,344838406025
Test_4_8|1595259|3249|0|8500|491|1750|5|RandomMutingFbe|18461,449676823639
Test_4_9|1589367|3237|0|8500|491|2000|5|RandomMutingFbe|18532,437442075996
Test_4_10|1600169|3259|0|8500|491|2250|5|RandomMutingFbe|18404,648665234734
Test_4_11|1603606|3266|0|8500|491|2500|5|RandomMutingFbe|18367,7281077771
Test_4_12|1604588|3268|0|8500|491|2750|5|RandomMutingFbe|18353,809669522645
Test_4_13|1618336|3296|0|8500|491|3000|5|RandomMutingFbe|18200,394417475731
Test_4_14|1626192|3312|0|8500|491|3250|5|RandomMutingFbe|18109,827898550728
Test_4_15|1623246|3306|0|8500|491|3500|5|RandomMutingFbe|18145,190562613432
Test_4_16|1629629|3319|0|8500|491|3750|5|RandomMutingFbe|18071,482374209099
Test_4_17|1626683|3313|0|8500|491|4000|5|RandomMutingFbe|18106,700875339571
Test_4_18|1636994|3334|0|8500|491|4250|5|RandomMutingFbe|17990,026994601081
Test_4_19|1640922|3342|0|8500|491|4500|5|RandomMutingFbe|17949,431478156792
Test_4_20|1633557|3327|0|8500|491|4750|5|RandomMutingFbe|18027,727682596935
Test_4_21|1645341|3351|0|8500|491|5000|5|RandomMutingFbe|17901,074306177263
Test_4_22|1642395|3345|0|8500|491|5250|5|RandomMutingFbe|17930,568011958148
Test_4_23|1658107|3377|0|8500|491|5500|5|RandomMutingFbe|17763,103346165237
Test_4_24|1641413|3343|0|8500|491|5750|5|RandomMutingFbe|17941,145677535147
Test_4_25|1667436|3396|0|8500|491|6000|5|RandomMutingFbe|17663,574793875148
Test_4_26|1655652|3372|0|8500|491|6250|5|RandomMutingFbe|17786,699288256226
Test_4_27|1663999|3389|0|8500|491|6500|5|RandomMutingFbe|17699,911478312188
Test_4_28|1661053|3383|0|8500|491|6750|5|RandomMutingFbe|17728,717114986699
Test_4_29|1641904|3344|0|8500|491|7000|5|RandomMutingFbe|17937,948564593302
Test_4_30|1665963|3393|0|8500|491|7250|5|RandomMutingFbe|17676,318891836134
Test_4_31|1660562|3382|0|8500|491|7500|5|RandomMutingFbe|17736,250739207568
Test_4_32|1656634|3374|0|8500|491|7750|5|RandomMutingFbe|17775,711321873147
Test_1_1|14721162|29982|0|1000|491|0|1|RandomMutingFbe|2001,1673670869186
Test_1_2|14713797|29967|0|1000|491|500|1|RandomMutingFbe|2002,1523676043646
Test_2_1|9808707|19977|0|1500|491|0|2|RandomMutingFbe|3003,3788857185759
Test_2_2|8157965|16615|0|1500|491|250|2|RandomMutingFbe|3610,9088173337345
Test_2_3|8798229|17919|0|1500|491|500|2|RandomMutingFbe|3348,2895250851047
Test_2_4|8591518|17498|0|1500|491|750|2|RandomMutingFbe|3428,7489998857013
Test_2_1|5892982|12002|0|2500|491|0|3|RandomMutingFbe|4998,9585069155137
Test_2_2|4898707|9977|0|2500|491|250|3|RandomMutingFbe|6013,05502656109
Test_2_3|5268921|10731|0|2500|491|500|3|RandomMutingFbe|5590,9980430528376
Test_2_4|5189870|10570|0|2500|491|750|3|RandomMutingFbe|5675,8987701040678
Test_2_5|5293962|10782|0|2500|491|1000|3|RandomMutingFbe|5564,5056575774433
Test_2_6|5307219|10809|0|2500|491|1250|3|RandomMutingFbe|5550,3515588861128
Test_2_7|5361229|10919|0|2500|491|1500|3|RandomMutingFbe|5494,6423665170805
Test_2_8|5401491|11001|0|2500|491|1750|3|RandomMutingFbe|5453,436051268066
Test_3_1|3281353|6683|0|4500|491|0|4|RandomMutingFbe|8977,3305401765665
Test_3_2|2734379|5569|0|4500|491|250|4|RandomMutingFbe|10772,26611599928
Test_3_3|2938144|5984|0|4500|491|500|4|RandomMutingFbe|10025,902406417114
Test_3_4|2865476|5836|0|4500|491|750|4|RandomMutingFbe|10279,34372858122
Test_3_5|2936180|5980|0|4500|491|1000|4|RandomMutingFbe|10032,525083612039
Test_3_6|2946000|6000|0|4500|491|1250|4|RandomMutingFbe|9998,2916666666679
Test_3_7|2961712|6032|0|4500|491|1500|4|RandomMutingFbe|9945,9549071618021
Test_3_8|2966622|6042|0|4500|491|1750|4|RandomMutingFbe|9928,7073816617012
Test_3_9|3008848|6128|0|4500|491|2000|4|RandomMutingFbe|9790,062010443864
Test_3_10|3002956|6116|0|4500|491|2250|4|RandomMutingFbe|9808,4941137998703
Test_3_11|3041254|6194|0|4500|491|2500|4|RandomMutingFbe|9685,663545366484
Test_3_12|3025051|6161|0|4500|491|2750|4|RandomMutingFbe|9736,7716279824708
Test_3_13|3060403|6233|0|4500|491|3000|4|RandomMutingFbe|9624,9799454516287
Test_3_14|3066295|6245|0|4500|491|3250|4|RandomMutingFbe|9605,7245796637308
Test_3_15|3067277|6247|0|4500|491|3500|4|RandomMutingFbe|9603,3295982071395
Test_3_16|3065804|6244|0|4500|491|3750|4|RandomMutingFbe|9607,1828955797573
Test_4_1|1734703|3533|0|8500|491|0|5|RandomMutingFbe|16980,328332861591
Test_4_2|1445013|2943|0|8500|491|250|5|RandomMutingFbe|20378,610261637787
Test_4_3|1544195|3145|0|8500|491|500|5|RandomMutingFbe|19075,039745627982
Test_4_4|1506879|3069|0|8500|491|750|5|RandomMutingFbe|19544,558488106875
Test_4_5|1557452|3172|0|8500|491|1000|5|RandomMutingFbe|18912,515762925599
Test_4_6|1559416|3176|0|8500|491|1250|5|RandomMutingFbe|18885,941435768262
Test_4_7|1588385|3235|0|8500|491|1500|5|RandomMutingFbe|18544,049459041729
Test_4_8|1573164|3204|0|8500|491|1750|5|RandomMutingFbe|18720,739700374532
Test_4_9|1596732|3252|0|8500|491|2000|5|RandomMutingFbe|18446,955719557194
Test_4_10|1599187|3257|0|8500|491|2250|5|RandomMutingFbe|18415,950260976359
Test_4_11|1600660|3260|0|8500|491|2500|5|RandomMutingFbe|18401,533742331289
Test_4_12|1607534|3274|0|8500|491|2750|5|RandomMutingFbe|18320,174098961517
Test_4_13|1617845|3295|0|8500|491|3000|5|RandomMutingFbe|18205,918057663126
Test_4_14|1626683|3313|0|8500|491|3250|5|RandomMutingFbe|18104,361605795351
Test_4_15|1607534|3274|0|8500|491|3500|5|RandomMutingFbe|18322,54123396457
Test_4_16|1636012|3332|0|8500|491|3750|5|RandomMutingFbe|18000,975390156062
Test_4_17|1624719|3309|0|8500|491|4000|5|RandomMutingFbe|18128,58869749169
Test_4_18|1637976|3336|0|8500|491|4250|5|RandomMutingFbe|17979,24160671463
Test_4_19|1633066|3326|0|8500|491|4500|5|RandomMutingFbe|18035,778713168973
Test_4_20|1642886|3346|0|8500|491|4750|5|RandomMutingFbe|17925,358637178724
Test_4_21|1646323|3353|0|8500|491|5000|5|RandomMutingFbe|17890,396659707723
