name|air_time|succ_transmissions|failed_transmissions|ffp|cot|offset|simulation_run|station_version|mean_channel_access_delay
Test_1_1|29459509|59999|0|1000|491|0|1|StandardFbe|1000
Test_1_2|29459509|59999|0|1000|491|500|1|StandardFbe|999,99166652777546
Test_2_1|14729509|29999|0|2000|491|0|2|StandardFbe|2000
Test_2_2|14729509|29999|0|2000|491|500|2|StandardFbe|1999,983332777759
Test_2_3|14729509|29999|0|2000|491|1000|2|StandardFbe|1999,9666655555184
Test_2_4|14729509|29999|0|2000|491|1500|2|StandardFbe|1999,9499983332776
Test_3_1|7364509|14999|0|4000|491|0|3|StandardFbe|4000
Test_3_2|7364509|14999|0|4000|491|500|3|StandardFbe|3999,9666644442964
Test_3_3|7364509|14999|0|4000|491|1000|3|StandardFbe|3999,9333288885919
Test_3_4|7364509|14999|0|4000|491|1500|3|StandardFbe|3999,8999933328887
Test_3_5|7364509|14999|0|4000|491|2000|3|StandardFbe|3999,8666577771846
Test_3_6|7364509|14999|0|4000|491|2500|3|StandardFbe|3999,8333222214815
Test_3_7|7364509|14999|0|4000|491|3000|3|StandardFbe|3999,7999866657769
Test_3_8|7364509|14999|0|4000|491|3500|3|StandardFbe|3999,7666511100738
Test_4_1|3682009|7499|0|8000|491|0|4|StandardFbe|8000
Test_4_2|3682009|7499|0|8000|491|500|4|StandardFbe|7999,9333244432592
Test_4_3|3682009|7499|0|8000|491|1000|4|StandardFbe|7999,8666488865183
Test_4_4|3682009|7499|0|8000|491|1500|4|StandardFbe|7999,7999733297775
Test_4_5|3682009|7499|0|8000|491|2000|4|StandardFbe|7999,7332977730357
Test_4_6|3682009|7499|0|8000|491|2500|4|StandardFbe|7999,6666222162958
Test_4_7|3682009|7499|0|8000|491|3000|4|StandardFbe|7999,599946659554
Test_4_8|3682009|7499|0|8000|491|3500|4|StandardFbe|7999,5332711028141
Test_4_9|3682009|7499|0|8000|491|4000|4|StandardFbe|7999,4665955460732
Test_4_10|3682009|7499|0|8000|491|4500|4|StandardFbe|7999,3999199893315
Test_4_11|3682009|7499|0|8000|491|5000|4|StandardFbe|7999,3332444325915
Test_4_12|3682009|7499|0|8000|491|5500|4|StandardFbe|7999,2665688758507
Test_4_13|3682009|7499|0|8000|491|6000|4|StandardFbe|7999,1998933191098
Test_4_14|3682009|7499|0|8000|491|6500|4|StandardFbe|7999,1332177623681
Test_4_15|3682009|7499|0|8000|491|7000|4|StandardFbe|7999,0665422056272
Test_4_16|3682009|7499|0|8000|491|7500|4|StandardFbe|7998,9998666488864
Test_5_1|1817697|5999|0|10000|303|0|5|StandardFbe|10000
Test_5_2|1817697|5999|0|10000|303|312|5|StandardFbe|9999,9479913318883
Test_5_3|1817697|5999|0|10000|303|624|5|StandardFbe|9999,8959826637783
Test_5_4|1817697|5999|0|10000|303|936|5|StandardFbe|9999,8439739956666
Test_5_5|1817697|5999|0|10000|303|1248|5|StandardFbe|9999,7919653275549
Test_5_6|1817697|5999|0|10000|303|1560|5|StandardFbe|9999,7399566594431
Test_5_7|1817697|5999|0|10000|303|1872|5|StandardFbe|9999,6879479913332
Test_5_8|1817697|5999|0|10000|303|2184|5|StandardFbe|9999,6359393232215
Test_5_9|1817697|5999|0|10000|303|2496|5|StandardFbe|9999,5839306551097
Test_5_10|1817697|5999|0|10000|303|2808|5|StandardFbe|9999,531921986998
Test_5_11|1817697|5999|0|10000|303|3120|5|StandardFbe|9999,4799133188881
Test_5_12|1817697|5999|0|10000|303|3432|5|StandardFbe|9999,4279046507763
Test_5_13|1817697|5999|0|10000|303|3744|5|StandardFbe|9999,3758959826646
Test_5_14|1817697|5999|0|10000|303|4056|5|StandardFbe|9999,3238873145528
Test_5_15|1817697|5999|0|10000|303|4368|5|StandardFbe|9999,2718786464411
Test_5_16|1817697|5999|0|10000|303|4680|5|StandardFbe|9999,2198699783312
Test_5_17|1817697|5999|0|10000|303|4992|5|StandardFbe|9999,1678613102195
Test_5_18|1817697|5999|0|10000|303|5304|5|StandardFbe|9999,1158526421077
Test_5_19|1817697|5999|0|10000|303|5616|5|StandardFbe|9999,063843973996
Test_5_20|1817697|5999|0|10000|303|5928|5|StandardFbe|9999,0118353058861
Test_5_21|1817697|5999|0|10000|303|6240|5|StandardFbe|9998,9598266377743
Test_5_22|1817697|5999|0|10000|303|6552|5|StandardFbe|9998,9078179696626
Test_5_23|1817697|5999|0|10000|303|6864|5|StandardFbe|9998,855809301549
Test_5_24|1817697|5999|0|10000|303|7176|5|StandardFbe|9998,8038006334373
Test_5_25|1817697|5999|0|10000|303|7488|5|StandardFbe|9998,7517919653292
Test_5_26|1817697|5999|0|10000|303|7800|5|StandardFbe|9998,6997832972174
